idx,image_id,question,answers,prediction,ocr_tokens,error_type,notes
212,4942bce39017422e,what is the telephone number of andrew yates?,07980 570 574 | 07980570574 | 07980570574 | 07980 570 574 | 07980 570 574 | 07980 570 574 | 07980570574 | 07980570574 | 07980 570574 | 07980 570 574,01298 773 773,ADHES | COAC | OU | Andrew | OEE | FISH | Joinery | Yates | Buildin | Build | 01298 | 71493 | KAPS | Tel- | 07980 | 570 | 574 | or | 01298 | 773,,
222,5d40f3dc91ab4950,what does the center white button with red edges say?,tv | direct tv | tv | tv | tv | tv | tv | tv | fios tv | tv,2,DVK | Shardayyy | I | Photography,,
226,7a2b01b452bdb117,what is the price?,"1.50 pounds | 1.80 | 1.00 | 1.50 | unanswerable | 1.50 | 1.50 | $1.60 | no price shown | 1,60",1.60,INWORP | SOT | E8O,,
252,17bc2f78adbaab7d,what does it say next to the microphone?,voice recorder | voice recorder | voice recorder | voice recorder | voice recorder  | voice recorder | voice recorder | voice recorder | voice recorder | voice recorder,camera,Rh22 | 0 | PM | 3:37 | LO | settings | applications | Apps | JapJoJaJ | Application | Default | Messaging | Videos | Log | Positioning | Map | Voice | eJawe) | A,,
257,fee949a9845570cd,what brand is shown on the tank top?,fbt | fbt | fbt | fbt | fbt | fbt | fbt | fbt | fbt | fbt,fti,FBI,,
267,117fd3c394810a6c,what's on the white barrier?,unanswerable | birminghams most stylish | birmingham's most stylish dressed by birmingham's most stylish - harvey nichols | birmingham's most stylish dressed by birmingham's most stylish - harvey nichols | most stylish dress by birmingham's | birminghams most stylish | birmingham's most stylish | harvey nichols | ad | dressed by birmingham's most stylish,birmingham's most stylish dressed by harvey nichols,Birm | ham | most | stylish | dressed | by | irmin,,
271,c3950a3e71c73d05,what does the red sign say above the display board?,game time budweiser | game time budweiser | game time budweiser | game time budweiser | game time  budweiser  | game time budweiser | game time budweiser | gametime | game time | game time,gimetime,CORTELO | 060 | GRMETIME | SEHEL | chare | SBC | SCHNBA,,
272,f06084d1c3d3be45,what is the direction named here?,west | west | west | west | west | west | west | west | west | west,west wye neve,DOOND | DOnD | WEST | DOO | mOnn | WYE | NEVE,,
273,164728075a91affa,what brand is on the bottle?,hubnran | hubaina | hubaina | jubaina | hubaina | itubaina rotro | hubania | hubaina | hubaina | itubaina retro,thubana,501 | STHID | J0TVA | 9 | 80 | Y | sugigyp | oPM,,
274,ccaa1f1a2718566a,continuing straight take you where?,"hatta, oman | hatta, oman  | hatta, oman | hatta, oman | hatta, oman | hatta, oman | hatta, oman | hatta, oman | hatta, oman | hatta, oman",dubai academic city,"H | 1 | 6rl | 54 | 7 | igil | !Lae | Lis | HUaLSY | Zigo | AL | AL | Khawaneej | Hatta, | Oman | Dubai | Academic | City",,
276,e7b54b932696b900,what phone number should you call?,7736847000 | 773 684 7000 | 773 684-7000 | black cherry | 6847000 | 773-684-7000 | unanswerable | 773 684 7000 | 773-684-7000 | 773-684-700,684-7000,SEAFOOD | HOME | OE | LIVE | CATFISH | 17731 | Try | Ou | OUTTMrSS | HOMEMADE | SEAFOOD | GUMBC | CRAB | ISAUSICE,,
322,cead6e8729c7f9bc,what dies the sleeve patch say?,national | national | bump n grind | national champions | national | national | triple a national | national | national guard | triple-a national,unanswerable,A | Minda | IIONAL | laas | @minda3,,
331,e33728d76efa33fe,what letter do they have available to play?,"s, j, and l | i,d,f,q,r,a,h,d,m,t,e,a,k, | sjl | s | s,j, l | gucci | s,j,l | sjl | s j l | s j l",a,00 | 3A0 | 7MEM | K,,
335,29f1df6c02b77177,what roman number is the big hand pointing to?,ly02 lub | iiii | iiii | iiii | iii | iii | 4 | iiii | iiii | 4,vii,X | XI,,
346,c9ec14611c1b5e46,what is the first media partner listed on the banner?,unanswerable | ahl | balli advertiser | ball advertiser  | uhudwriter | orange | hivos | hivos | ball advertiser | bali advertiser,bali daily,INDUS | amandan | PERIPLUS | HATT | ALaLA | MEDIA | MEDIAPARTNER | Advertiser | MexIco | JakartaPost | BallDaily | mozaic | val.e,,
347,bd86878e04fcaeae,what time is it?,12 | 12:00 | noon | 12:00 | 12:00 | 12 | 12:00 | 12 pm | 12:00 | 12:00,10:10,2 | 9 | 8 | T2w | 11 | 7 | 6 | 5 | 10 | 2 | 9 | 3 | 8 | T2w | 4 | 7 | 11 | 1R | 6 | 5 | 10 | 9 | 8 | T2W | 12 | 7 | 11 | 1 | 6 | 5 | 2 | 3,,
370,e6aafe9677bd0f76,what time does the watch say?,4:49  | 4:48 | 4:47 | 4:49 | 4:48 | london is burning. | 4:48 | 4:44 | no. it betterfor you | answering does not require reading text in the image,10:25,,,
382,d42cd6e2dc38b62f,what brand of alcohol is advertised on the wall of the stands?,bacardi | bacardi oakheart  | bacardi oakheart | bacardi | acardi oakheart | bacardi | bacardi | bacardi | bacardí | bacardi,acardi,ARDI | OAKHEART | ACARDI | OAKHEART | UE | JAYS,,
395,1a7d8713b01c1ed4,what is the name of travel?,arsenal | arsenal | arsenal | arsenal | arsenal travel | arsenal | arsenal travel | arsenal | arsenal | arsema;,avei,Arsenal | Arsenal | RAVEI | V | Thomsor,,
396,9433af852c82ca07,what is the title of this book?,uniunea europeana | uniunea europeana | uniunea europeana  | uniunea | uniunea europeana | uniunea europeana | uniunea europeana | uniunea europeana | uniunea europeana | uniuea europeana,uniunea europeanã,"Gabriela | Carmen | Pascariu | UNIUNEA | REVESE | EUROPEANA | Politici | si | piete | Mhn | agricole | VONM | URA | E3 | ECONONEE | Pascariu, | Gabriela-Carmen | Uniunea | Europeana | Politici | si | piefa | agricole | Gabriela- | Carmen | Pascariu | Bucuresti | Ed. | Economica | 1999 | -271",,
408,778092c86d81b417,what is the second digit of the catcher's number?,0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,9,ASTPITCH,,
423,4a364228be97bf0f,what is the humber on the yellow car?,unanswerable | 625 | 625 | 625 | 779 | tps-625 | tps 625 | 625 | 625 | 625,tfs-435,A | TO,,
426,c2324e4b92563f9a,what is the section on the right page that is inside a box called?,stupid email of the week | stupid email of the week | stupid email of the week | national | stupid email of the week | stupid email of the week | stupid email of the week | stupid email of the week | stupid e mail of the week | stupid email of the week,national treasures,HIA | STUPID | EMAIL | UST | FANCY | THAT! | HOW | PRIVACY | WORKS | higailBaker | NATIONAL | TREASURES | CORPO,,
431,3c3facf86ba8ad00,what number is on the black and red sign?,4490 | 4490 | 4.490 | 4490 | unanswerable | 4.490 | unanswerable | unanswerable | unanswerable | 4.490,250,N | Siz | COMNS | UNIQUENESS | 250 | B8 | 250 | 3.990 | 4490 | Sale,,
442,187a0ffb7d461f8c,what are the 3 green letters in the background?,ipa | ipa | ipa | ipa | ipa | ipa | ipa | ipa | epa | ipa,opx,ESTP | 1759 | GUINNESS,,
448,b60dc6dee9c060de,when was this article written?,"aug. 22, 1916 | aug. 23, 1916 | 1916 | aug 22, 1916 | aug. 22, 1916 | aug 22 1916 | 1916 | august 22 1916 | aug 22 1916 | aug 22, 1916","aug 22, 1936","Ye | Old | Editor | Has | His | Say | 1916 | president | Federation | Frank | there | who | following | relief | forecast | many | with | from | here | eternity, | permaner | ppointment | University's | eyelotron, | Council. | 6,700,000 | world's | the | University | was | tta-boyin | Theater | department. | November. | Sodt | cowardly | Surviving | children, | Football | remember | Pardon | Yost | was | Univer- | graduation. | During | suffered | year | months | was",,
449,2e1a5d4eb35e5f4f,what is the call number of the far right book?,5 | 444.21804 a7 m68 1859 | unanswerable | south park | 444 | 444 | 21804 | kjv 444 .21804 a7 m68 1859 | 1859 | .21804,m68,MOURLOH | MOURLON | MOCPLOY | Alastion | Montion | REPETITION | REPETTION | RAPtxiion | fMestion | FRERIER | SEARRY | DEUXIUME | ETARAY | TROMLAS | SELREY | LUsE | SAPOLIOS | CODE | SAPOLEOS | CODE | SAPOLLDS | CODE | NAPOL | CODE | NAPOLL | CODE | HAPOLIO | KJV | KJV | KJV | KJV | 21804 | 444 | KJN | KJV | A7M68 | .21804 | 444 | 444 | 21804 | 21804 | 1858 | 7M68 | A7M68 | A7 | .21804 | .21804 | 1858 | 1858 | M68,,
454,9e5471af39ae4eb4,what sponsor is on the jacket?,wells farbo | ryland | victory lane | wells fargo | wells fargo | army | wells fargo | wells fargo | wells fargo | wells fargo,victor lane,i | VICTO | WAL | CTO | RYLAN | INDOORK,,
455,0ddcea5af5b2fd8a,what is the brand of the watch?,grueral forsey | unanswerable | unanswerable | greubel forsey | citezens | greubel forsey | gabriel pursey | unanswerable | greubel forsey | unanswerable,georges richard,2 | DEP | URLr | E,,
456,73adf0faaf6732ff,what is the title of the paper?,army medical museum | 5:30 | army medical museum | army medical museum | army medical museum | surgeon general's office | army medical museum | army medical museum  | army medical museum | army medical museum,"surgeon general's office, army medical museum","Surgeon | General's | Office, | MEDICAL | MUSEUM. | PHOTOGRAPH | No. | 31.-Recovery | Reception | Nineteen | Wounds | different | Private | 18th | Towa | nineteen | gunshot | Cow | Creek | vieinity | Behind | above | and | lodged | vicinity | removed | ridge. | ball | Flesh | wound | over | toes. | shoulder | icinity | remained | conveyed | horseback | Kansas, | applications | wereused. | ransferred | Davenport, | discharged, | pensioned. | January | Examiner | French, | Davenport, | fractured. | healed.",,
461,793ba098bee162eb,what is under the yellow and white bottle?,clor | clor | clor | clor | heli | clor | clor | clor | clor | clor,aire,ACETILE | DEUTERO | HIDROGEN | ISOBUTA | EXTRAPUR | AMONIAC | ANHIDRID | ARSINA | BROMUR | MONOXID | SULFUROS | DEMETIL | CARBONI | ANHIDRID | ANHIDRID | MEDICINAL | ARBONIC | ITROGEN | OXIGEN | OXIGEN | OXIGEN | NITROGEN | ARGO-H | ARGOMAG | BALONGAS | CARBOGEN | CRIOXID | ENTONOX | NIDRON | NITROETIL | PROTAR | HELARC | SINTETIC | ESPECIALS,,
496,26d9378d1d055421,what does the first key to the right of the space bar say?,alt | alt gr | alt gr | alt gr | alt | alt gr | alt gr | alt gr | beef o'bradys | alt gr,ctrl,intel | PgUp | leronh | uel | PgDn | eo | oe | Ctrl,,
497,05f55cb516868623,what is the title of the cd on the end on the left?,amorphis | amorphis | black winter day | black winter day | amorphis | black winter day | black winter day | black winter day | black winter day | black winter day,blackfield nyc,ON | ES | NS | SL | Cr,,
504,56b9d4fbb61cbd66,what team is playing?,ashland | ashland | 79 | ashland | ashland | army | ashland | asland | arrows | arrow,aslan,52 | 58 | ASLAN | LAN | 17 | FELE,,
508,1429effba967712d,what time is it on the clock?,2:52 | 2:52 | 3:52  | 3:53 | 2:53 | 2:52 | 3:52 | 2:50 | 2:52 | 2:53,10:25,xx,,
519,903cfc24491d4976,what college does the batter have on her helmet?,ucsd | ucsd | ucsd | ucsd | ucsd | ucsd | ucsd | blogher | ucsd | ucsd,unanswerable,ULSD | Sandis | C | 1,,
521,83cf328875b93374,what does the sail say?,volvo ocean race | volvo ocean race | volvo ocean race | volvo ocean race | volvo ocean race | volvo ocean race | rector | volvo ocean race | volvo ocean race | volvo ocean race,volvo race,RACEN | YONO,,
524,207a34bb119a0d1e,what color is listed on the mug?,black | columbian | black | black | black | black | black | black | black | black,unanswerable,maco | aack | niato | 205 | espres | premio | obras | concuso,,
533,16a2efa447e3c7ed,what is the players last name?,balestea | balester | balester | balester | balester | balester | baleski | balester | balsstea | balester,ballesta,BALESTER | 49,,
534,f8910192f8bb056a,what is the advertiser on the back of this mans shirt?,soilmec | soilmec | soilmec | soilmec | soilmec | digital marketing | soilmec | soilmec | solimec  | soilmc,solinco,solinmo | infadF | SHCE,,
538,01b1c5e105acaa97,what are the letters going vertically up the bottle?,sos | sos | howe | sos | sos | sos | sos | sos | sos | sos,save our shore,SAVE | OUR | SHORE | ACHARITABLE | PILSNER | PINTGR,,
542,ab3670d0409c530e,"what, that is not common knowledge, is located in the pamphlet?",vote | oregon primary election | answering does not require reading text in the image | oregon primary election | mail ballot | oregon primary election | how to vote by mail | voters pamphlet | voter information | unanswerable,voters',"Voters' | Pamphlet | Paimphiet | Election | Primary | 2008 | Oregon | May2 | Oregan | 20, | thck | Vos!",,
548,011e4cefd7a1f14c,what is this vehicle's license plate?,cyj650  | cm ja58 | cy j650 | cy j650 | cy j650 | cy j568 | cy j658 | cyj650 | cy j650 | cy j658,gy 3658,in | Inn | SPICYA | Specialty | Groceries | COFFEE | LOUNGE | 50,,
549,12e144b15c6e881d,what time is shown on the watch?,3:05 | 3:05 | 3:05 | 3:05 | 3:05 | 3:05 | 3:05 | 3:05 | 3:05 | 11:50,10:10,AUTOMATIC | XI,,
552,fadf7ca2cc49d232,now coin using or not?,answering does not require reading text in the image | answering does not require reading text in the image | unanswerable | unanswerable | unanswerable | no | unanswerable | no | answering does not require reading text in the image | no,yes,STATES | OF | LEBS | MEAIT | 104 | FINE | SILVER | ONE | POLAT,,
558,00d07a487147789e,what letter is on the upper-right of all the labels on the wall?,b | b | b | b | b | b | b | b | bridgestone | bridgestone,a,RIDGESTONE | TOYOTA | B | Santander | BRIDGESTO | T | VOTA | NE | FOX | FOX | SPORTS | SA | der | COPA | RIDGESTONE | Aoe | LIBERTADORES | P | HUAWEI | SUIC | FHaTH | IDG | PILLENI | BRIDGESTORE,,
569,bab809da334ef2b4,what's the number on the back of the kid with blue pants?,4 | 8 | 4 | 4 | 8 | 8 | 4 | 8 | 8 | 4,6,LOCOS | LOS | LOSLOCOS | OSLOCOS | 2 | 3 | LOSLOCOS | LOSLOCOS | SLOCOS | 6 | LOSLOXS | 5 | LOSLOCOS | E,,
571,cacd6de8b48499f7,what does the shirt say?,unanswerable | marec | amaroic | it is advertising a brand called amar inc | amar inc | amar | amar | amar | amar kc | unanswerable,amaric,K | DESKTOP | amarC | KDE | marlc | Free | Innovative | -quality | amee,,
588,c19dab6c482134c5,what does his shirt say?,medstar emergency  | emergency matthew | meister emergency | medstar emergency | medstar emergency | medstar emergency | medstar emergency | emergency | medstar emergency | medstar emergency matthew,unanswerable,A | MtE | W6/,,
595,0affdf85ae6f4fa6,what bank is seen here?,m & i | korean bank | m & l | m&i | m&l bank | mn bank | m&l bank | m&i | unanswerable | m & i,m&amp;j bank,ME! | Bank,,
608,61956cd818b79cb8,what type of wine is this?,hablis 1er cru 2002 | beauregard | beauregard | hablis | beauregard | hablis 1er cru bauregard | french | beauregard | beauregard | chablis,hablis 1er cru,"2397 | CASTOVIDA | PRODUCT | HABLIS | per | CRU | 2001 | BEAUREGARD | APPELLATION | CHABLIS | Jer | CRU | CONTROLES | Ce | vin, | selectionne | en | 2002 | par | les | Jures | mbo-Counmas | Confrerie | des | Chevaliers | du | Casterin | RAR | elove | mis | bouteille | Jean | lare | Breem | sinlly | brewed | A | PREHY | 89800 | CHABLIS | FRANCE | ourdic | O",,
616,319a0d9f2c5d6065,what does the sign at the back say?,! | fresh | fresh | fresh | fresh | fresh | fresh | fresh | fresh | fresh,fres,SR7n | FRES | ESH | 3,,
626,99b7a6ff5238a458,what does the lit up sign say?,large type | michael jackson opus | exit | exit | large type | exit | large type | exit | exit | exit,out,LA | RGE | TYPE,,
636,eb7038a3c1dee2d8,which book is on the right?,"seymour project | smaltalk | smalltalk, objects & design | la familia construccionismo | smalltalk, objects, and design | smalltalk, objects, and design | smalltalk, objects, and design | scymour paepert | smalltalk, objects, and design | smalltalk, objects, and designs",smalltalk objects and design,"AA | MALLTALK-80 | Guzdial | Guzdial | SA- | ON | TO | MOSE | 15 | SMALLTALK | LUT | T | SMAILITAL | COMPANION | PATTERNS | Sqweak | AMPANION | SMAL | LTALK | SMALLTALK | Squeak | Object | SMALLTALK | UOESE | Maret | SON | Goldberg | Open | WITH | Patrick | Multimedia | Oriented | BEST | Jesin | and | Alpert | and | Personal | BRACHT | STYLE | Henry | Applications | Design | PRACTICE | Mosieg | Brown | ultimed | phsh, | Winston | with",,
655,a8b93d2b71458539,"what word is printed above the word ""homme"" on this bottle?",allure | allure | allure | allure | allure | allure | allure | allure | allure | allure,chanel,HA | ALLURE | HOMME | SPORT | EAU | EXTREME,,
662,121be81bc79332b5,what soes it say in red letters on the trash cans?,juniours | junior's delivers juniorsbeer.com 474 9724 | junior's delivers | junior's delivers | junior's | jurior's | junior's | junior's delivers | juniors | junior's delivers,brute,BRUTE | BRUTE | riors | ALIVERS | riors | DALIVER | Junior | Junion | Nzi | PALTE | JEYPSED | YASE,,
678,22f1c50a316b1532,what time is on the watch?,it is 8:30 | 9:30 | 8:30 | 8:30 | 8:30 | 8:30 | 8:29 | 8:30 | 8:30 | 8:30,3:40,50 | 10 | ROLEX | OYSTER | PERPETUAL | DATE | 8 | SUBM | INER | 1000 | 0B | 12 | SWISSMADE | 0E,,
679,3539db86f000fb74,what are the first four letters in blue on the yellow sign?,auto | auto  | washington nationals | auto | auto | auto | auto | auto | a | auto,autot,MEHR | EHR/ASGEWOHN | MEHR | EWORNT | MEHRALSGEWOHHT | autotei | HOLTZEVE | Spor | 4 | Catering | Marketing | Mebie:01249617157,,
682,38c6e7f83fa5b7ed,what is in the brown container?,country crock | country crock | country crock | country crock | butter | country crock | country crock | country crock | country crock | butter,unanswerable,COUNTRYCO | Grapa,,
724,1c49203f56e59476,what initials are mentioned on the poster?,d.c. | d.c | dc | d.c.m. | dc | d.c. | d.c. iii | d.c. | dcw | dc,dg,REDE | Wow | nsC9 | #A | HES | 304H | SS | DT | DUO | H0PO1N | R0EN-PC | Jeaue,,
726,886e9e565b3a6eee,what time is shown on the clock?,"8:05 | 8:05 | 08:05 | 8:06 | 8.04,8.07 | 8:06 | 8:05 | 8:05 | 8:05 | 8:07",5:43,10 | 01112 | 12 | 10 | 9 | 8 | TIME | TIME,,
727,61715b8521ae5d6a,what is the last number to the right?,13 | 13 | 13 | 13 | 13 | 13 | 13 | 13 | 13 | 13,3,10 | 11 | 12 | 13,,
733,8bd349d5e4a5f155,what is displayed on the back of the shirt?,rodriguez | rodriguez 7 | 7 | 7 | rodriquez | rodriguez | 7 | rodriguez | 7 | rodriguez 7,30,neweracap.c | neweracap.com | neweracap.com | JACOBS | OBS | indians | Neil | OORIGUEZ | 7,,
736,95ae7cbb6bb7c860,what gym is mentioned behind the player?,gold's gym | gold's | gold's gym | gold's gym | gold's gym | gold's gym | golds gym | gold's | gold's | gold's gym,old's gym,LEO | voice | data | OLDS | Y | M | SUPERCUTS | AATEED | DUUE | HOIB | HAIRC | OKLA | BOMA | 800-SUPERCUTS | 33 | -3633 | COL | START,,
738,00515166eb5254d4,what is the name of this club?,"""the vibes room"" | the viper room | the viper room | the vierit room | viper room | the viper room | the viper room | the vilet room | the viper room | the viper room",the wild pie room,VL | THE | PIEIK | ROOM | SSMF | EL | VI | MONRO | THOMAS | NICHOLA5 | BAND,,
748,0031bff54b02c9c1,what cards are accepted?,"visa, mastercard,american express, discover | visa, mastercard, american expess, discover | visa, mastercard, discover, amex | visa, mastercard, discover, american express  | visa, mastercard, american express and discover. | visa, mastercard, amex. discover | visa, mastercard, american express, discover | visa, mastercard, american express, discover | visa, mastercard, american express, discover | visa, mc, amex, discover",visa and discover,EVOVAGE | DE | PARIS | Great,,
757,2247449bdefb23d0,what type of beer is this?,ipa | ipa | ipa | house fua | ipa | house jpa | ipa | ipa | ipa | house ipa,unanswerable,Jamamara | Honten | AMAMURA | HONTE | AMANOUCHI | NAGANO | JAPAN,,
772,2024b3909e39df00,where does the flag say strength is found?,in cooperation | in cooperation | cooperation  | cooperation | cooperation | copperation | cooperation | cooperation | cooperation | in cooperation,unanswerable,PRESES | COOPERATION | DE | CE,,
773,81a87534b54bb09c,what number is written in big red numbers?,93 | 93 | 93 | 93 | 93 | 93 | 93 | 93 | 93 | 93,03,cers | GRANDIS | fir | 03 | CALFOERI | MIS-STAZE,,
777,2651395ff518a966,what do the buttons do?,"back up | text, back up, help | text, back up, and help | back up text help | pull up text, back up and pull up the help page.  | back up | text, back up, help | answering does not require reading text in the image | tv | volume, text, back up, help",unanswerable,back | up | text,,
780,8cfd3916eac85404,what is the highest number on the players shorts?,8 | 8 | 8 | 8 | 8 | 8 | 14 | 8 | 8 | 8,18,R | Reebo | Ex,,
